name,ring,quadrant,isNew,description,quadrant (default)
cht-core,Adopt,App Building,FALSE,"<p>The CHT Core Framework makes it faster to build responsive, offline-first digital health apps that equip health workers to provide better care in their communities. It is a central resource of the Community Health Toolkit.</p>",languages-and-frameworks
cht-conf,Adopt,App Building,FALSE,<p>A command-line interface for configuring Community Health Toolkit applications.</p>,languages-and-frameworks
cht-interoperability,Adopt,Data Use,FALSE,<p>This project implements a Loss to Follow Up (LTFU) workflow system for CHIS based on OpenHIE LTFU Guide. A first version of the project can be found in the chis-interoperability repository.</p>,Techniques
cht-sync,Trial,Data Use,TRUE,<p>Bundling of LogStash CouchDB source and PostgREST to sync data from CouchDB to Postgres. This basically copies data from CouchDB and puts it into Postgres in real-time.</p>,Techniques
cht-pipeline,Trial,Data Use,TRUE,<p>CHT Pipeline is a tool used to define data models for transforming the raw data we get from Couch DB into models that can then be queried to build dashboards.</p>,Techniques
CHT Watchdog,Trial,Deployment Management,TRUE,<p>A monitoring and alerting stack for the CHT built on Prometheus and Grafana. Prometheus records real-time metrics from your CHT instance and stores them in a time series database. Grafana allows you to visualize the metrics in configurable dashboards and sends alerts when metrics exceed a threshold.</p>,Platforms
cht-couch2pg,Not Recommended,Data Use,FALSE,"<p>Software for creating read-only replicas of data from CHT applications, using PostgreSQL v9.4.</p>",Techniques
MedicOS,Not Recommended,Deployment Management,FALSE,"<p>A space-efficient Linux-based operating system, designed specifically to run Medic's mHealth platform. This is the build system and source code; Docker images will be available on Medic's website.</p>",Platforms
Klipfolio,Adopt,Data Use,FALSE,"<p>Klipfolio is a paid third-party SAAS option for building dashboards.

From Wikipedia article:
Klipfolio offers an online dashboard platform for building real-time business dashboards. It allows business users to connect to many data services, automate data retrieval, and then manipulate, and visualize the data. Klipfolio uses a schema-less architecture that allows non-technical end users to more easily connect to data sources, and separates data from presentation to more efficiently use and reuse data sources throughout the platform.

Klipfolio has built-in formula editing, allowing end-users to transform, combine, slice, and filter any data before visualizing it. Users are able to access the dashboard from their desktop, tablet, TV, and mobile phone, and share it with colleagues by granting access to the dashboard, or by scheduling email reports.</p>",Techniques
Superset,Adopt,Data Use,FALSE,"<p>Superset is an open source option for building dashboards.

From Wikipedia article: Apache Superset is an open-source software application for data exploration and data visualization able to handle data at petabyte scale.</p>",Techniques
Medic Collect,Not Recommended,CHT App Features,FALSE,"<p>Medic's fork of ODK Collect, modified to handle large offline deployments and send SMS. Medic Collect is in maintenance mode and will not receive new features or improvements. Instead consider using building a CHT App based with CHT Core.</p>",Tools
TurboSIM,Not Recommended,CHT App Features,FALSE,"<p>SIM Application Toolkit (STK) based tool for menu driven point-of-care and data collection workflows on feature phones. No longer supported as it required hardware that was difficult to procure, and cost was comparable to low end smartphones.</p>",Tools
OpenHIE,Trial,Data Use,FALSE,"<p>OpenHIE is a community of practice that also provides an architecture and specification for interoperability for the digital health ecosystem. Medic is an active partner in the OpenHIE community, and strives to use OpenHIE standards in designing and building integrations.

From OpenHIE:
A Health Information Exchange (HIE) makes sharing health data across information systems possible. It enables data to be shared between databases, facilities, and across regions or countries.

OpenHIE’s Architecture is made up of patterns that ensure that health information from various external systems is gathered into a single, uniﬁed HIE. To accomplish this, the exchange normalizes the context in which health information is used by focusing on the “for whom”, ”by whom”, “where”, and “what” of a patient’s health visit, bringing relevant information through a layer of interoperability and directly to the point of service. Additionally, OpenHIE also integrates medical supply data. This supports enhanced decision-making, improves the quality, safety, and continuity of care, and facilitates the appropriate use of information to improve health in a population.</p>",Techniques
XLSForm,Adopt,App Building,FALSE,<p>XLSForm is a form standard created to help simplify the authoring of forms in Excel. Authoring is done in a human readable format using a familiar tool that almost everyone knows - Excel. XLSForms provide a practical standard for sharing and collaborating on authoring forms. They are simple to get started with but allow for the authoring of complex forms by someone familiar with the syntax.</p>,languages-and-frameworks
OppiaMobile,Trial,CHT App Features,FALSE,<p></p>,Tools
Simprints Search,Not Recommended,CHT App Features,FALSE,<p>This feature is no longer supported. Previously CHT Apps could support searching for patients using biometric ID that was registered using a Simprints handheld fingerprint reader.</p>,Tools
Icon Library,Adopt,App Building,FALSE,<p>Icons for use in CHT application based on our human centered design principles. This collection of over 60 beautiful icons was made for use in CHT applications. We will continually update this library as new icons are developed for different workflows.</p>,languages-and-frameworks
RapidPro,Adopt,App Building,FALSE,"<p>RapidPro is the open-source platform that powers TextIt, developed by UNICEF and Nyaruka. RapidPro allows you to visually build messaging workflows for mobile-based services. For advanced messaging workflows, CHT apps can integrate with RapidPro messaging flows.</p>",languages-and-frameworks
CHT Gateway,Not Recommended,Deployment Management,FALSE,<p>Android SMS gateway app for CHT Applications. Useful for prototyping and small deployments. Using a third party SMS aggregator is more robust for production use.</p>,Platforms
UHC Mode,Adopt,CHT App Features,FALSE,<p>The CHT’s UHC Mode empowers CHWs to provide equitable and timely care to families in their catchment area. The Community Health Toolkit supports this use-case by displaying the number of visits made to a household and highlighting households that haven’t met their visit goal in red at the top of the contact list.</p>,Tools
Muting,Adopt,CHT App Features,FALSE,<p>The CHT’s UHC Mode empowers CHWs to provide equitable and timely care to families in their catchment area. The Community Health Toolkit supports this use-case by displaying the number of visits made to a household and highlighting households which haven’t met their visit goal in red at the top of the contact list.</p>,Tools
Purging,Adopt,Data Use,FALSE,<p>Purging is a tool that allows you to increase performance and available disk space for offline users (eg CHWs) by removing unneeded documents from their device. As users continually generate new reports their performance may naturally degrade as a result. You can use purging to remove older documents that are no longer relevant from their devices. Purging only removes documents from user’s devices: these reports are still available for online analytics and impact metrics.</p>,Techniques
CouchDB Purge,Not Recommended,Data Use,FALSE,<p>A purge feature native to CouchDB. This feature is unsupported.</p>,Techniques
Training Cards,Adopt,CHT App Features,FALSE,"<p>Training Cards enable remote training from within the CHT by showing a sequence of “cards” containing content provided by App Developers. The content might include information about a newly deployed feature, changes to a care guide, or simply a reminder about an underused feature or workflow. Enketo forms are used to display the content, and App Developers can specify a start date, duration, and to which user roles the cards should be shown. Like app forms, forms used by training cards will automatically be downloaded to the user’s devices.</p>",Tools
Targets,Adopt,CHT App Features,FALSE,"<p>Dashboards to track metrics for an individual CHW or for an entire health facility. Targets is the user dashboard or analytics tab. The widgets on this tab provide a summary or analysis of the data in submitted reports. These widgets can be configured to track metrics for an individual CHW, for a Supervisor overseeing a group of CHWs, or for an entire health facility.</p>",Tools
Tasks,Adopt,CHT App Features,FALSE,"<p>Ensuring that the right actions are taken for the right people at the right time. Tasks help CHWs plan their day by prompting them to complete follow-up visits and other activities. The list might include upcoming scheduled ANC or Immunization visits, treatment or referral follow-ups, or other required activities such as a household survey.</p>",Tools
Supervision Features,Adopt,CHT App Features,FALSE,"<p>Supervision and workforce management are important aspects to building and maintaining high-performing community health systems. Supervisors help Community Health Workers deliver quality healthcare services to their patients through building CHW care delivery knowledge and skills, fostering a supportive work environment, and supporting continuity of care between home-based care and community health centers or facilities.</p>",Tools
Configurable Hierarchies,Adopt,CHT App Features,FALSE,"<p>Organizing people and places, and their relationship to one-another. The Core Framework requires a hierarchy to organize the information in the app. It is often based on the hierarchy of a health system within a particular geographic region. Large deployment sites often need three or more levels of place hierarchy, while some small sites need fewer than three levels. For this reason, the Core Framework’s information hierarchies are configurable to meet a users needs.</p>",Tools
CHT Android,Adopt,CHT App Features,FALSE,<p>The CHT Android application is a thin Android wrapper to load the CHT Core Framework web application in a Webview native container.</p>,Tools
Progressive Web App,Trial,CHT App Features,FALSE,"<p>From Wikipedia: A progressive web application (PWA), is a type of application software delivered through the web, built using common web technologies including HTML, CSS, JavaScript, and WebAssembly. It is intended to work on any platform with a standards-compliant browser, including desktop and mobile devices.</p>",Tools
Custom Integration,Adopt,CHT App Features,FALSE,"<p>Integrate with any system using RESTful APIs. The CHT Core Framework includes functionality that allows sharing data with any API-based system. Developers have configured CHT integrations with OpenMRS, KenyaEMR, Bahmni, DHIS2, RapidPro, Apache NiFi, OpenHIM, custom electronic medical records (EMR), and several other systems.</p>",Tools
DHIS2 Integration,Adopt,CHT App Features,FALSE,"<p>Send aggregate, patient, and event data to DHIS2. In communities using digital health apps built with the CHT, health systems can reduce or eliminate the need to complete paper based forms for DHIS2 reporting needs. This gives health workers more time to focus on caring for the families in their community while also increasing accuracy and timeliness of their DHIS2 reporting requirements.</p>",Tools
Custom Branding,Adopt,CHT App Features,FALSE,"<p>In CHT Apps you have the ability to modify the app title, logo, and favicon. For Progressive Web App installations you can also configure the desktop icon.</p>",Tools
SMS Schedules,Not Recommended,CHT App Features,FALSE,<p>SMS schedules allow you to send reminder messages at predetermined times. These reminders serve as useful prompts for end-users to take specific actions. For more complex SMS workflows consider using RapidPro.</p>,Tools
Docker Helper,Adopt,App Building,FALSE,<p>Helper for Docker?</p>,languages-and-frameworks
Docker,Adopt,Deployment Management,FALSE,<p>Deployment mechanism for CHT apps.</p>,Platforms
Kubernetes,Adopt,Deployment Management,FALSE,"<p>Kubernetes, also known as K8s, is an open-source system for automating deployment, scaling, and management of containerized applications. Useful for orchestration of distributed CHT deployments.</p>",Platforms
K3D,Trial,Deployment Management,FALSE,<p>Lighter version of Kubernetes for orchestration</p>,Platforms
